company,cik,city,zip,entity_type,incorporated,young_company,industry,revenue_range,first_sale_date,filing_date,is_amendment,total_offering,amount_sold,num_investors,equity,debt,exemptions,related_people,file_num,accession,filing_url
13 Mari Ltd.,1952874,Kearny,07032,Corporation,2022,True,Other Technology,Decline to Disclose,2023-01-11,2023-01-17,False,1000000.0,5000.0,1,False,True,06b,Krassimir Fotev (Executive Officer/Director),021-470843,0001952874-23-000001,https://www.sec.gov/Archives/edgar/data/1952874/000195287423000001/
1435 Capital Management Series Ltd Liability Co,1866850,New Jersey,08540,Limited Liability Company,2021,True,Business Services,"$1 - $1,000,000",2022-03-08,2022-03-09,False,100000.0,100000.0,1,True,False,06b,Ben Jen (Director),021-436405,0001866850-22-000001,https://www.sec.gov/Archives/edgar/data/1866850/000186685022000001/
1435 Capital SLLC,1842902,Princeton,08540,Limited Liability Company,2020,True,Other,Decline to Disclose,2021-06-03,2021-06-07,False,,895000.0,1,True,False,06b,Hunt Conor (Executive Officer); Jen Ben (Executive Officer); Alexander Brufsky (Executive Officer),021-402000,0001842902-21-000001,https://www.sec.gov/Archives/edgar/data/1842902/000184290221000001/
18531 Aliso Canyon Road Dev Co LLC,1861208,Cranford,07016,Limited Liability Company,2021,True,Construction,No Revenues,,2021-05-19,False,34300000.0,0.0,1,False,True,06b,KYLE ROEMER (Executive Officer); LARRY WILLIAMS (Executive Officer),021-399850,0001861208-21-000001,https://www.sec.gov/Archives/edgar/data/1861208/000186120821000001/
2510 Ocean Avenue Development Co LLC,1860881,Cranford,07016,Limited Liability Company,2021,True,Construction,No Revenues,,2021-05-19,False,12000000.0,0.0,1,False,True,06b,KYLE ROEMER (Executive Officer); FRED GIFFORD (Executive Officer),021-399852,0001861208-21-000002,https://www.sec.gov/Archives/edgar/data/1860881/000186120821000002/
29B Lake Elsinore Development Co LLC,1861221,Cranford,07016,Limited Liability Company,2021,True,Construction,No Revenues,,2021-05-19,False,49000000.0,0.0,1,False,True,06b,KYLE ROEMER (Executive Officer); FRED GIFFORD (Executive Officer),021-399861,0001861208-21-000006,https://www.sec.gov/Archives/edgar/data/1861221/000186120821000006/
"2ClickFit, Inc.",2094237,Moorestown,08057,Corporation,2025,True,Other Technology,"$1 - $1,000,000",2025-10-20,2025-10-29,False,,27000.0,2,False,False,06b,Bradford Tobias (Executive Officer); Thiago Lorenzo (Executive Officer),021-562446,0002094237-25-000001,https://www.sec.gov/Archives/edgar/data/2094237/000209423725000001/
"3rd-i Technology, Inc.",2063808,Chester,07930,Corporation,2023,True,Other Technology,Decline to Disclose,2025-03-29,2025-08-07,False,830000.0,830000.0,7,True,False,06b,Dillon Abend (Executive Officer),021-553998,0001293328-25-000003,https://www.sec.gov/Archives/edgar/data/2063808/000129332825000003/
410 Moss Mill LLC,2046971,Egg Harbor City,08215,Limited Liability Company,2024,True,Other,Decline to Disclose,2024-11-20,2024-12-04,False,225000.0,225000.0,8,True,False,06b,Jason Lamp (Executive Officer/Director); Walter Skilton (Executive Officer/Director); Timothy Cusumano (Executive Officer/Director),021-531072,0002046971-24-000001,https://www.sec.gov/Archives/edgar/data/2046971/000204697124000001/
42 Palmdale Acres Development Co LLC,1860867,Cranford,07016,Limited Liability Company,2021,True,Construction,No Revenues,,2021-05-19,False,30000000.0,0.0,1,False,True,06b,BRETT BARBER (Executive Officer); FRED GIFFORD (Executive Officer),021-399856,0001861208-21-000004,https://www.sec.gov/Archives/edgar/data/1860867/000186120821000004/
560 Marin Development Co LLC,1861223,Cranford,07016,Limited Liability Company,2021,True,Construction,No Revenues,,2021-05-18,False,205701200.0,0.0,1,False,True,06b,FRED GIFFORD (Executive Officer); KYLE ROEMER (Executive Officer),021-399699,0001861223-21-000002,https://www.sec.gov/Archives/edgar/data/1861223/000186122321000002/
560 Marin Development Co LLC,1861223,Cranford,07016,Limited Liability Company,2021,True,Construction,No Revenues,,2021-05-17,False,199520000.0,0.0,1,False,True,06b,GREGORY WHYTE (Executive Officer); KYLE ROEMER (Executive Officer),021-399601,0001861223-21-000001,https://www.sec.gov/Archives/edgar/data/1861223/000186122321000001/
"563 Systems, LLC",1984509,Mount Laurel,08054,Limited Liability Company,overFiveYears,False,Other Technology,Decline to Disclose,2023-06-23,2023-07-07,False,14400000.0,14399994.0,7,True,False,06b,Lawrence Berran (Director); James White (Executive Officer/Director); Michael DiPiano (Director); Gregory White (Director),021-486211,0001878646-23-000022,https://www.sec.gov/Archives/edgar/data/1984509/000187864623000022/
685 Manzanita Court Chino Acquisition Co LLC,1861211,Cranford,07016,Limited Liability Company,2021,True,Lodging and Conventions,No Revenues,,2021-05-19,False,30000000.0,0.0,1,False,True,06b,DEEPAK KUMAR (Executive Officer); FRED GIFFORD (Executive Officer),021-399858,0001861208-21-000005,https://www.sec.gov/Archives/edgar/data/1861211/000186120821000005/
7 KINGS FARMS LLC,2005769,Brick,08723,Limited Liability Company,2022,True,Agriculture,No Revenues,2023-12-30,2024-01-08,False,500000.0,100000.0,1,False,False,06b,Herman Reid (Executive Officer/Promoter),021-501846,0002005769-24-000001,https://www.sec.gov/Archives/edgar/data/2005769/000200576924000001/
911INFORM HOLDINGS INC.,1866935,Wall,07727,Corporation,2020,True,Telecommunications,"$5,000,001 - $25,000,000",2021-06-14,2024-02-13,True,,11004000.0,19,True,False,06b,Ivo Allen (Executive Officer),021-402811,0001866935-24-000001,https://www.sec.gov/Archives/edgar/data/1866935/000186693524000001/
"98Strong, Inc.",1902704,Princeton,08540,Corporation,2021,True,Other,"$1 - $1,000,000",2021-12-27,2022-01-07,False,200000.0,200000.0,7,True,False,06c,Nick Bunn (Director); Tom Mavis (Director); Dina Brewer (Executive Officer/Director); Andrew Mavis (Executive Officer/Director); Racich John (Director),021-428282,0001902704-22-000001,https://www.sec.gov/Archives/edgar/data/1902704/000190270422000001/
